nama_produk,tingkat_penjualan,bpom,rate,SPF,PA
Hanasui Collagen Water Sunscreen SPF30 30Gr,10000,1,4.9,30,0
Elformula CeraHydro Barrier Sunscreen 50Ml,6,1,5.0,0,0
Skintific 5X Ceramide Sunscreen Serum SPF50+ PA++++ 50Ml ,70,1,5.0,50,5
Skintific Sunscreen 5X Ceramide Serum Sunscreen Stick SPF50 PA+++ 30Ml,53000,1,4.9,50,4
Hanasui Collagen Water Sunscreen SPF50 PA++++ 30Ml,10000,1,4.9,50,5
Expert Care Sunscreen SPF50 PA+++ 50Gr,562,1,4.9,50,4
Kojie San Tinted Sunscreen SPF50+ PA+++ 50Gr,128,1,4.8,50,4
ERHA AcneAct Acne Protection Sunscreen SPF45 PA+++ 30G,126,1,5.0,45,4
Moell Physical Sunscreen SPF50+ PA++++ 30Gr,8,1,5.0,50,5
LABORE Biome Protect Physical Sunscreen 30Ml,90000,1,4.9,0,0
Vaseline Gluta-Hya Serum Burst Sunscreen SPF50 PA+++ 200Ml,15000,1,5.0,50,4
Anessa Perfect UV Sunscreen Spray 60Gr,422,1,4.9,0,0
Sariayu Sunscreen Serum SPF50 PA+++ 30Gr,57000,1,4.9,50,4
Biokos Daily Protection Sunscreen Serum SPF50 PA+++ 30Gr,13000,1,4.9,50,4
Skintific All Day Light Sunscreen Mist SPF50 PA++++ 120Ml,13000,1,4.9,50,5
Skintific Ultra Light Sunscreen SPF50 PA++++ 25Ml,10000,1,4.9,50,5
Skintific All Day Light Sunscreen Mist SPF50 PA++++ 50Ml,11,1,4.5,50,5
Garnier Super UV Invisible Air-Mist Sunscreen SPF50+ PA++++ 75Ml,31000,1,4.8,50,5
KAHF Triple Protection Sunscreen Moisturizer SPF30 PA++++ 30Ml,10000,1,4.9,30,5
ERHA AcneAct Sunscreen SPF45 PA+++ 30Gr,126,1,4.9,45,4
Wardah UV Shield Physical Sunscreen Serum SPF50+ PA++++ 30Ml,132,1,4.9,50,5
Skintific 5X Ceramide Sunscreen Serum 80Ml,73,1,5.0,0,0
Matte Fit Serum Sunscreen SPF50+ PA++++ 30Gr,66,1,5.0,50,5
Wardah UV Shield Essential Sunscreen Gel SPF35 PA+++ 40Ml,10000,1,4.9,35,4
Scarlett Sun Bright Daily Sunscreen SPF50 50Ml,143,1,4.8,50,0
Somethinc Holyshield! Sunscreen Shake Mist SPF46 PA+++ 50Ml,187,1,4.8,46,4
Safi Sun Essential Comfort Touch Sunscreen SPF50+ PA++ 30Ml,52,1,4.7,50,3
Somethinc Holyshield! UV Watery Sunscreen Gel SPF50+ PA++++ 50Gr,10000,1,4.9,50,5
Wardah UV Shield Airy Smooth Sunscreen Serum SPF50 PA++++ 25Ml,10000,1,4.9,50,5
Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ 50Ml ,10000,1,4.9,45,5
Carasun Sunscreen Healthy Matte UV Protector SPF50+ PA++++ 70Ml,787,1,4.9,50,5
ERHA  Perfect Shield Sunscreen Spray 90Ml,6,1,5.0,0,0
Skintific Aqua Light Daily SPF35 Sunscreen 30Ml,815,1,4.9,35,0
Vaseline Refreshing Daily Sunscreen Serum SPF50+ 170Ml,10000,1,4.9,50,0
Azarine Hydramax-C Sunscreen Serum SPF50 PA++++ 40Ml,10000,1,4.9,50,5
Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ 40Ml,10000,1,4.9,35,4
Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++ 40Ml,10000,1,4.9,35,4
True To Skin Sunfriends Sunscreen Gel SPF50 PA++++ 30Ml,43000,1,4.9,50,5
Garnier Light Complete Super UV Spot Proof SPF50+ PA+++ 30Ml,173,1,4.9,50,4
Carasun Sunscreen Healthy Matte UV Protector SPF50+ PA++++ 30Ml,47000,1,4.9,50,5
Azarine Hydracool Ceraspray Sunscreen SPF50+ PA++++ 50Ml,10000,1,4.9,50,5
DR.G Green Mild Up Sun+ SPF50+ PA++++ (Renewal) 50Ml,226,1,5.0,50,5
Nivea Sun Triple Protect Hokkaido Rose SPF50+,12,1,5.0,50,0
DR.G Brightening Up Sun+ SPF50+ PA+++ 50Ml,6,1,5.0,50,4
Biore UV Aqua Rich Light Up Essence Sunscreen SPF50+ PA++++ 70Gr,136,1,4.8,50,5
Vaseline Healthy Bright SPF30 PA++ Gluta Vitamin Sunscreen Serum 180Ml,2000,1,4.8,30,3
Skin Aqua UV Moisture Milk SPF50+ PA+++ 40Gr,10000,1,4.9,50,4
Somethinc Holyshield! Sunscreen Comfort Corrector SPF50+ PA++++ 15Ml,326,1,4.8,50,5
Emina Sun Battle SPF30 PA+++ 60Ml,10000,1,4.9,30,4
Nivea Sun After Sun Spray CO&SOT 200Ml,1,1,5.0,0,0
Garnier Super UV Serum Vit C SPF50 30Ml,173,1,4.9,50,0
LA Roche Posay Anthelios UV Tinted 50Ml,3,1,5.0,0,0
Anessa Bright UV Suns SPF50 Gel 90Gr,5,1,5.0,50,0
Bioaqua 7x Ceramide Skin/M SRM SPF50 40ML,19000,1,4.9,50,0
Biore Uv Aqua Rich Watery Essence SPF50 50G,57000,1,4.9,50,0
Loreal UVD Anti Agun Serum 30ML,12,1,4.8,0,0
Wardah UV Airy Smooth Sun SRM SPF50 40ML,10000,1,4.9,50,0
The Originote Ceramella Sunscreen SPF50 PA+ 50G,10000,1,4.8,50,2
Vaseline Sun Block SPF30 100Ml,56000,1,4.9,30,0
Marina Natual Hand and Body Lotion Protection 100Ml,377,1,4.9,0,0
Banana Boat Ultra Protect Lot SPF30 90Ml,155,1,4.9,30,0
